産業__産業分類名称_総合計,__時間軸コード_2016100000,列見出し4_列見出し5_単位（列）_年度_2016年度,_社_8487,_百万円_335361994,_百万円_13994455,_百万円_11724600,_百万円_2269855,うち、関係会社への委託_国内_百万円_928711,うち、関係会社への委託_海外_百万円_445106,_％_4.17,_百万円_1093951,国内_百万円_135305,海外_百万円_50625,_社_1833,_百万円_667698,_社_9203,_百万円_207458
合計,2020100000,2020年度,8344,340223089,14538293,12109516,2428777,355995,415837,4.27,702449,129773,105008,1670,729692,8306,157007
鉱業、採石業、砂利採取業,2020100000,2020年度,8,53767,541,412,129,***,***,1.01,***,***,***,2,,7,
製造業,2020100000,2020年度,6133,220127649,12069146,10228711,1840435,316592,329975,5.48,300279,73657,44886,1410,665363,3797,66901
食料品製造業,2020100000,2020年度,699,14635616,142529,134686,7843,1509,140,0.97,1232,40,***,100,9287,418,3799
畜産食料品製造業,2020100000,2020年度,100,4526523,25700,24249,1451,151,***,0.57,28,***,***,11,1145,84,673
水産食料品製造業,2020100000,2020年度,73,620401,3173,3105,68,21,***,0.51,15,1,***,4,82,35,152
精穀・製粉業,2020100000,2020年度,16,295362,2125,2118,7,***,***,0.72,3,***,***,5,197,10,49
その他の食料品製造業,2020100000,2020年度,510,9193330,111531,105214,6317,1337,140,1.21,1186,39,***,80,7863,289,2925
飲料・たばこ・飼料製造業,2020100000,2020年度,116,6008122,94108,91262,2846,65,***,1.57,17,***,***,31,14403,72,1323
清涼飲料・酒類・茶・たばこ製造業,2020100000,2020年度,87,4976445,89655,86977,2678,39,***,1.8,6,***,***,24,14224,52,1179
飼料・有機質肥料製造業,2020100000,2020年度,29,1031677,4453,4285,168,26,***,0.43,11,***,***,7,179,20,144
繊維工業,2020100000,2020年度,151,1048894,35179,34266,913,223,***,3.35,485,44,220,25,2597,66,616
製糸，紡績，ねん糸等製造業,2020100000,2020年度,20,204568,18282,17907,375,9,***,8.94,392,36,220,8,2125,7,384
織物・ニット生地製造業,2020100000,2020年度,29,175162,5960,5765,195,6,***,3.4,31,***,***,4,160,10,44
染色整理業,2020100000,2020年度,26,114908,2311,2212,99,21,***,2.01,52,***,***,4,22,9,27
その他の繊維工業,2020100000,2020年度,36,252040,4656,4463,193,149,***,1.85,10,8,***,6,177,16,42
織物・ニット製衣服製造業,2020100000,2020年度,18,177231,3214,3192,22,10,***,1.81,***,***,***,1,,13,95
身の回り品・その他の繊維製品製造業,2020100000,2020年度,22,124985,756,727,29,28,***,0.6,***,***,***,2,,11,24
木材・木製品製造業（家具を除く）,2020100000,2020年度,40,836110,3449,3366,83,26,***,0.41,***,***,***,6,141,29,136
製材・合板製造業,2020100000,2020年度,37,808497,3149,3066,83,26,***,0.39,***,***,***,5,,26,131
その他の木製品製造業（家具を除く）,2020100000,2020年度,3,27613,300,300,***,***,***,1.09,***,***,***,1,,3,5
家具・装備品製造業,2020100000,2020年度,62,990190,10306,10110,196,40,***,1.04,***,***,***,4,202,28,195
パルプ・紙・紙加工品製造業,2020100000,2020年度,114,3641210,30553,28436,2117,1096,***,0.84,69,10,***,15,1095,84,503
パルプ・紙製造業,2020100000,2020年度,38,2114259,16696,15524,1172,858,***,0.79,56,10,***,10,623,28,219
紙加工品製造業,2020100000,2020年度,76,1526951,13857,12912,945,238,***,0.91,13,***,***,5,472,56,284
印刷・同関連業,2020100000,2020年度,78,2793620,33089,32556,533,430,***,1.18,36,***,***,9,1159,131,1552
化学工業,2020100000,2020年度,755,25338625,1823275,1397418,425857,17813,116087,7.2,51167,6734,16527,372,116636,399,9778
化学肥料・無機化学工業製品製造業,2020100000,2020年度,64,1332289,46626,42496,4130,67,***,3.5,487,***,***,33,4446,38,529
有機化学工業製品製造業,2020100000,2020年度,146,9429054,424035,395861,28174,4880,6291,4.5,4665,642,88,82,50200,79,2906
油脂加工製品・石けん・合成洗剤・界面活性剤・塗料製造業,2020100000,2020年度,97,1663520,49023,46700,2323,2074,1,2.95,159,150,***,46,5643,52,587
医薬品製造業,2020100000,2020年度,192,7333574,1007493,639544,367949,2272,106124,13.74,41134,1861,16433,99,36268,110,3649
その他の化学工業製品製造業,2020100000,2020年度,256,5580188,296098,272817,23281,8520,3671,5.31,4722,4081,6,112,20079,120,2107
石油製品・石炭製品製造業,2020100000,2020年度,32,6624203,33884,31803,2081,4,28,0.51,525,109,***,12,3779,16,437
石油精製業,2020100000,2020年度,11,6192263,24014,22116,1898,4,***,0.39,440,109,***,4,2980,8,318
その他の石油製品・石炭製品製造業,2020100000,2020年度,21,431940,9870,9687,183,***,28,2.29,85,***,***,8,799,8,119
プラスチック製品製造業,2020100000,2020年度,349,5575961,182979,175033,7946,1670,5044,3.28,2390,228,7,68,14052,201,2437
ゴム製品製造業,2020100000,2020年度,84,2441543,146423,141736,4687,558,756,6,33,1,***,20,14873,41,499
タイヤ・チューブ製造業,2020100000,2020年度,6,1601971,120962,117616,3346,***,***,7.55,17,***,***,1,,3,343
その他のゴム製品製造業,2020100000,2020年度,78,839572,25461,24120,1341,558,756,3.03,16,1,***,19,,38,156
なめし革・同製品・毛皮製造業,2020100000,2020年度,6,22816,217,216,1,***,***,0.95,***,***,***,***,***,1,
窯業・土石製品製造業,2020100000,2020年度,224,3148635,66732,65691,1041,32,71,2.12,2864,94,2258,53,7187,102,745
ガラス・同製品製造業,2020100000,2020年度,45,594721,21172,20902,270,9,***,3.56,2558,***,2258,10,2449,21,218
セメント・同製品製造業,2020100000,2020年度,53,959155,10308,10113,195,***,***,1.07,273,89,***,8,1202,22,136
その他の窯業・土石製品製造業,2020100000,2020年度,126,1594759,35252,34676,576,23,71,2.21,33,5,***,35,3536,59,391
鉄鋼業,2020100000,2020年度,140,9497145,164606,159863,4743,1580,133,1.73,7181,54,***,29,33386,149,2221
銑鉄・粗鋼・鋼材製造業,2020100000,2020年度,83,8932480,162060,157981,4079,1561,56,1.81,7148,54,***,24,33309,76,1886
鋳鍛造品・その他の鉄鋼製品製造業,2020100000,2020年度,57,564665,2546,1882,664,19,77,0.45,33,***,***,5,77,73,335
非鉄金属製造業,2020100000,2020年度,176,8703917,124320,117117,7203,2014,165,1.43,5323,1124,***,37,10585,126,2707
非鉄金属製錬・精製業,2020100000,2020年度,37,3092767,36926,35674,1252,428,64,1.19,287,***,***,12,3842,28,576
非鉄金属加工品製造業,2020100000,2020年度,139,5611150,87394,81443,5951,1586,101,1.56,5036,1124,***,25,6743,98,2131
金属製品製造業,2020100000,2020年度,446,5434631,82572,79662,2910,1947,449,1.52,510,112,***,46,2335,286,1729
建設用・建築用金属製品製造業,2020100000,2020年度,120,2118900,29679,28893,786,524,4,1.4,131,35,***,13,1235,78,642
その他の金属製品製造業,2020100000,2020年度,326,3315731,52893,50769,2124,1423,445,1.6,379,77,***,33,1100,208,1087
はん用機械器具製造業,2020100000,2020年度,291,5487696,163630,149654,13976,5959,1870,2.98,747,467,***,61,6184,210,2159
ボイラ・原動機製造業,2020100000,2020年度,14,1203421,51745,44000,7745,5166,848,4.3,556,449,***,4,2360,18,129
ポンプ・圧縮機器製造業,2020100000,2020年度,85,1490672,44494,40261,4233,266,376,2.98,85,5,***,15,1757,45,341
一般産業用機械・装置製造業,2020100000,2020年度,97,1660932,37819,36665,1154,55,646,2.28,106,13,***,24,1101,76,754
その他のはん用機械・同部品製造業,2020100000,2020年度,95,1132671,29572,28728,844,472,***,2.61,***,***,***,18,966,71,935
生産用機械器具製造業,2020100000,2020年度,562,11043586,604559,566375,38184,20429,6905,5.47,12538,650,10927,88,25891,313,5083
金属加工機械製造業,2020100000,2020年度,147,1870361,69210,65474,3736,522,287,3.7,50,***,***,18,1580,68,580
特殊産業用機械製造業,2020100000,2020年度,415,9173225,535349,500901,34448,19907,6618,5.84,12488,650,10927,70,24311,245,4503
業務用機械器具製造業,2020100000,2020年度,280,9045762,883119,821564,61555,11850,13695,9.76,55186,4033,1368,78,49130,140,2467
事務用・サービス用機械器具製造業,2020100000,2020年度,59,3737605,455893,439593,16300,5960,3474,12.2,1502,417,662,19,21463,27,610
計量器・測定器・分析機器・試験機・測量機製造業,2020100000,2020年度,106,1239885,89925,80064,9861,115,515,7.25,3798,1098,706,24,9275,51,782
医療用機械器具・医療用品製造業,2020100000,2020年度,80,2656598,230186,204099,26087,5366,9706,8.66,8482,2518,***,29,5987,47,1034
光学機械器具・レンズ製造業,2020100000,2020年度,31,470063,81451,72144,9307,409,***,17.33,159,***,***,5,,14,
武器製造業,2020100000,2020年度,4,941611,25664,25664,***,***,***,2.73,41245,***,***,1,,1,
電子部品・デバイス・電子回路製造業,2020100000,2020年度,292,13093358,712686,688842,23844,10537,3774,5.44,13421,7485,1382,82,55643,171,2782
電気機械器具製造業,2020100000,2020年度,432,16808415,1051827,978502,73325,7784,15430,6.26,26065,10643,***,86,25797,255,6582
産業用電気機械器具製造業,2020100000,2020年度,213,7452959,395377,376097,19280,2313,4830,5.3,13249,3148,***,36,3094,153,4959
民生用電気機械器具製造業,2020100000,2020年度,52,5888232,378581,369584,8997,3914,1301,6.43,2389,***,***,8,9565,28,378
電子応用装置製造業,2020100000,2020年度,28,667645,76713,61447,15266,830,8923,11.49,334,***,***,7,1397,10,284
その他の電気機械器具製造業,2020100000,2020年度,139,2799579,201156,171374,29782,727,376,7.19,10093,7495,***,35,11741,64,961
情報通信機械器具製造業,2020100000,2020年度,129,5749040,341960,319124,22836,3737,8100,5.95,39656,33889,5,30,9952,76,7486
通信機械器具・同関連機械器具製造業,2020100000,2020年度,99,2394517,161014,155141,5873,2977,485,6.72,37909,33778,5,19,1811,54,896
電子計算機・同附属装置製造業,2020100000,2020年度,30,3354523,180946,163983,16963,760,7615,5.39,1747,111,***,11,8141,22,6590
輸送用機械器具製造業,2020100000,2020年度,516,58789581,5184757,4124955,1059802,215490,138052,8.82,80210,7807,12192,126,256525,401,11168
自動車・同附属品製造業,2020100000,2020年度,390,53818062,5050278,3998861,1051417,214728,137761,9.38,67568,4025,12192,104,248248,306,9565
その他の輸送用機械器具製造業,2020100000,2020年度,126,4971519,134479,126094,8385,762,291,2.7,12642,3782,***,22,8277,95,1603
その他の製造業,2020100000,2020年度,159,3368973,152387,76474,75913,11799,19276,4.52,624,133,***,32,4524,82,
電気・ガス業,2020100000,2020年度,48,23304282,132408,50482,81926,6992,***,0.57,14641,***,***,17,3586,80,11218
電気業,2020100000,2020年度,34,19626947,115563,35770,79793,6992,***,0.59,14612,***,***,10,1523,35,8922
ガス業,2020100000,2020年度,14,3677335,16845,14712,2133,***,***,0.46,29,***,***,7,2063,45,2296
情報通信業,2020100000,2020年度,636,18580884,507312,388448,118864,5358,21998,2.73,56525,30287,6077,35,7970,1117,31124
ソフトウェア業,2020100000,2020年度,445,12630294,450295,337273,113022,3658,20757,3.57,49930,30242,31,24,7865,701,21281
情報処理・提供サービス業,2020100000,2020年度,115,3273420,33022,29971,3051,1225,7,1.01,6535,45,6046,6,54,286,7620
インターネット附随サービス業,2020100000,2020年度,52,2135812,22135,19551,2584,405,1234,1.04,49,***,***,3,,64,1223
映画・ビデオ制作業（※）,2020100000,2020年度,9,116853,664,664,***,***,***,0.57,***,***,***,***,***,18,298
新聞業,2020100000,2020年度,5,131014,545,533,12,***,***,0.42,***,***,***,1,,22,605
出版業,2020100000,2020年度,10,293491,651,456,195,70,***,0.22,11,***,***,1,,26,97
卸売業,2020100000,2020年度,1003,66467569,1487929,1126752,361177,23723,63628,2.24,52567,1671,26537,154,45532,1412,21713
繊維品卸売業,2020100000,2020年度,18,317456,671,469,202,20,***,0.21,***,***,***,***,***,8,59
衣服・身の回り品卸売業,2020100000,2020年度,49,786062,3733,2480,1253,466,49,0.47,44,***,***,4,22,50,373
農畜産物・水産物卸売業,2020100000,2020年度,34,2510590,4563,4485,78,8,2,0.18,2,***,***,3,490,75,515
食料・飲料卸売業,2020100000,2020年度,91,7425826,30043,21918,8125,5385,63,0.4,34,***,***,12,1571,131,1810
建築材料卸売業,2020100000,2020年度,60,1549410,25804,25523,281,142,***,1.67,20,19,***,4,1240,78,297
化学製品卸売業,2020100000,2020年度,93,2955673,22956,19065,3891,2017,59,0.78,1958,1055,***,24,1075,93,2136
石油・鉱物卸売業,2020100000,2020年度,18,11030478,75094,73564,1530,***,***,0.68,120,***,***,5,124,50,424
鉄鋼製品卸売業,2020100000,2020年度,36,3873043,1026,923,103,67,***,0.03,***,***,***,2,,58,2325
非鉄金属卸売業,2020100000,2020年度,17,3685734,8143,7781,362,309,***,0.22,140,120,***,5,1267,15,607
再生資源卸売業,2020100000,2020年度,7,262892,652,627,25,***,***,0.25,***,***,***,1,,20,71
産業機械器具卸売業,2020100000,2020年度,93,3002828,187784,183191,4593,1143,***,6.25,950,***,***,19,16544,141,4090
自動車卸売業,2020100000,2020年度,23,1570908,66828,64518,2310,631,1502,4.25,633,***,633,6,2618,85,986
電気機械器具卸売業,2020100000,2020年度,127,6846351,370745,309391,61354,4677,939,5.42,46967,470,25904,25,7425,195,2888
その他の機械器具卸売業,2020100000,2020年度,76,1595073,41324,38831,2493,69,1033,2.59,141,***,***,13,2718,123,871
家具・建具・じゅう器等卸売業,2020100000,2020年度,38,598453,2354,1546,808,405,***,0.39,143,***,***,2,,36,240
医薬品・化粧品等卸売業,2020100000,2020年度,64,7172788,554390,311688,242702,6829,59969,7.73,665,2,***,17,9189,83,2018
紙、紙製品卸売業,2020100000,2020年度,13,382917,3257,3254,3,***,***,0.85,***,***,***,***,***,17,82
その他の卸売業,2020100000,2020年度,146,10901087,88562,57498,31064,1555,12,0.81,750,5,***,12,1126,154,1921
小売業,2020100000,2020年度,140,2959809,14410,10519,3891,1392,78,0.49,728,***,***,9,188,904,13440
織物・衣服・身の回り品小売業,2020100000,2020年度,16,242033,962,824,138,***,78,0.4,***,***,***,1,,59,520
飲食料品小売業,2020100000,2020年度,55,943858,1086,987,99,24,***,0.12,627,***,***,1,,184,4029
自動車・自転車小売業,2020100000,2020年度,3,108141,420,357,63,***,***,0.39,89,***,***,1,,289,2181
機械器具小売業,2020100000,2020年度,8,97844,685,609,76,***,***,0.7,***,***,***,1,,58,2708
家具・建具・じゅう器小売業,2020100000,2020年度,2,,,,***,***,***,,***,***,***,***,***,10,79
医薬品・化粧品小売業,2020100000,2020年度,20,693872,3625,1658,1967,1345,***,0.52,***,***,***,2,,75,1002
燃料小売業,2020100000,2020年度,3,18311,102,47,55,***,***,0.56,***,***,***,1,,94,573
その他の小売業,2020100000,2020年度,17,,,,27,18,***,,12,***,***,1,,90,963
無店舗小売業,2020100000,2020年度,16,391142,4059,2593,1466,5,***,1.04,***,***,***,1,,45,1385
クレジットカード業、割賦金融業,2020100000,2020年度,6,,,,,,***,,***,***,***,1,,29,785
物品賃貸業,2020100000,2020年度,20,295167,774,752,22,***,***,0.26,***,***,***,***,***,92,955
産業用機械器具賃貸業（レンタルを含む）,2020100000,2020年度,15,178807,389,372,17,***,***,0.22,***,***,***,***,***,43,337
事務用機械器具賃貸業（レンタルを含む）,2020100000,2020年度,1,,,,***,***,***,,***,***,***,***,***,12,99
自動車賃貸業（レンタルを除く）,2020100000,2020年度,***,***,***,***,***,***,***,***,***,***,***,***,***,20,239
その他の物品賃貸業（レンタルを含む）,2020100000,2020年度,4,,,,5,***,***,,***,***,***,***,***,17,280
学術研究、専門・技術サービス業,2020100000,2020年度,140,4420331,276051,260993,15058,1574,158,6.25,254006,23910,27508,28,6637,230,3666
学術・開発研究機関,2020100000,2020年度,32,374405,243497,231442,12055,747,158,65.04,226750,15078,11040,13,5218,37,616
デザイン業,2020100000,2020年度,2,,,,,,***,,***,***,***,***,***,3,
エンジニアリング業,2020100000,2020年度,59,2864316,27909,25364,2545,571,***,0.97,6452,4394,102,9,1351,76,1627
広告業,2020100000,2020年度,9,843730,739,,,8,***,0.09,***,***,***,1,,51,730
機械設計業,2020100000,2020年度,12,161079,2556,2545,11,***,***,1.59,20513,4147,16366,1,,24,364
商品・非破壊検査業,2020100000,2020年度,11,65665,830,651,179,171,***,1.26,***,***,***,2,,11,136
計量証明業,2020100000,2020年度,14,103876,433,339,94,***,***,0.42,291,291,***,1,,26,171
写真業,2020100000,2020年度,1,,,***,,,***,,***,***,***,1,,2,
飲食サービス業,2020100000,2020年度,70,765953,479,464,15,5,***,0.06,***,***,***,1,,77,510
一般飲食店,2020100000,2020年度,63,655972,423,413,10,***,***,0.06,***,***,***,1,,64,356
持ち帰り・配達飲食サービス業,2020100000,2020年度,7,109981,56,51,5,5,***,0.05,***,***,***,***,***,13,154
生活関連サービス業、娯楽業,2020100000,2020年度,9,81533,145,145,***,***,***,0.18,***,***,***,***,***,108,809
洗濯業,2020100000,2020年度,1,,,,***,***,***,,***,***,***,***,***,24,167
その他の洗濯・理容・美容業・浴場業,2020100000,2020年度,3,33987,18,18,***,***,***,0.05,***,***,***,***,***,8,74
冠婚葬祭業（冠婚葬祭互助会を含む）,2020100000,2020年度,3,6808,6,6,***,***,***,0.09,***,***,***,***,***,43,202
"写真プリント,現像・焼付業",2020100000,2020年度,1,,,,***,***,***,,***,***,***,***,***,2,
その他の生活関連サービス業,2020100000,2020年度,***,***,***,***,***,***,***,***,***,***,***,***,***,4,
映画館,2020100000,2020年度,***,***,***,***,***,***,***,***,***,***,***,***,***,3,17
ゴルフ場,2020100000,2020年度,***,***,***,***,***,***,***,***,***,***,***,***,***,5,10
スポーツ施設提供業（809に該当するものを除く）,2020100000,2020年度,1,,,,***,***,***,,***,***,***,***,***,12,240
公園、遊園地・テーマパーク,2020100000,2020年度,***,***,***,***,***,***,***,***,***,***,***,***,***,7,79
個人教授所,2020100000,2020年度,1,,,,,,***,,***,***,***,***,***,2,
サービス業（その他のサービス業を除く）,2020100000,2020年度,130,2151630,47896,41379,6517,320,***,2.23,23703,248,***,13,357,451,5853
廃棄物処理業,2020100000,2020年度,25,219602,482,368,114,102,***,0.22,59,5,***,2,,50,331
機械等修理業,2020100000,2020年度,52,1517877,16722,14067,2655,41,***,1.1,613,14,***,6,111,98,940
職業紹介業,2020100000,2020年度,***,***,***,***,***,***,***,***,***,***,***,***,***,10,187
労働者派遣業,2020100000,2020年度,13,103097,2933,370,2563,9,***,2.84,23031,229,***,2,,104,2161
ディスプレイ業,2020100000,2020年度,3,20796,25851,25163,688,***,***,124.31,***,***,***,1,,9,87
テレマーケティング業,2020100000,2020年度,2,,,***,,,***,,***,***,***,***,***,17,282
その他の事業サービス業,2020100000,2020年度,35,,,1411,,,***,,***,***,***,2,,163,1865
サービス業（その他のサービス業）,2020100000,2020年度,47,2157480,129702,127757,1945,450,63,6.01,***,***,***,6,2567,145,2264
その他の産業,2020100000,2020年度,176,9021068,34138,30714,3424,376,***,0.38,645,***,***,23,1332,308,6443
